title,type,question,A,B,answer,image
Debit Kredit,radio,Jualan,Debit,Kredit,B,
,radio,Pulangan Jualan,Debit,Kredit,A,
,radio,Pulangan Masuk,Debit,Kredit,A,
,radio,Inventori Awal,Debit,Kredit,A,
,radio,Belian,Debit,Kredit,A,
,radio,Pulangan Belian,Debit,Kredit,B,
,radio,Pulangan Keluar,Debit,Kredit,B,
,radio,Angkutan Masuk,Debit,Kredit,A,
,radio,Angkutan Keluar,Debit,Kredit,A,
,radio,Upah atas Belian,Debit,Kredit,A,
,radio,Insurans atas Belian,Debit,Kredit,A,
,radio,Duti Import,Debit,Kredit,A,
,radio,Duti Belian,Debit,Kredit,A,
,radio,Komisen,Debit,Kredit,B,
,radio,Sewa diterima,Debit,Kredit,B,
,radio,Diskaun diterima,Debit,Kredit,B,
,radio,Faedah Simpanan Tetap,Debit,Kredit,B,
,radio,Diskaun diberi,Debit,Kredit,A,
,radio,Alat Tulis,Debit,Kredit,A,
,radio,Kadar Bayaran,Debit,Kredit,A,
,radio,Gaji,Debit,Kredit,A,
,radio,Sewa,Debit,Kredit,A,
,radio,Faedah Pinjaman,Debit,Kredit,A,
,radio,Upah,Debit,Kredit,A,
,radio,Insurans,Debit,Kredit,A,
,radio,Bank,Debit,Kredit,A,
,radio,Tunai,Debit,Kredit,A,
,radio,Akaun Belum Terima,Debit,Kredit,A,
,radio,Simpanan Tetap,Debit,Kredit,A,
,radio,Inventori Alat Tulis,Debit,Kredit,A,
,radio,Akaun Belum Bayar,Debit,Kredit,B,
,radio,Overdraf Bank,Debit,Kredit,B,
,radio,Premis,Debit,Kredit,A,
,radio,Kelengkapan,Debit,Kredit,A,
,radio,Kenderaan,Debit,Kredit,A,
,radio,Perabot,Debit,Kredit,A,
,radio,Alatan Pejabat,Debit,Kredit,A,
,radio,Ambilan,Debit,Kredit,A,
,radio,Modal,Debit,Kredit,B,
,radio,Untung Bersih,Debit,Kredit,B,
,radio,Pinjaman,Debit,Kredit,B,
,radio,Gadai Janji,Debit,Kredit,B,
