title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Kesilapan Ketara & Tidak Ketara,checkbox,哪些是 Kesilapan Ketara ?,Kesilapan pengiraan,Kesilapan pindahan,Merekodkan amaun di bahagian yang sama,Merekodkan pada satu akaun ahaja,Merekodkan amaun yang tidak sama,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,"A,B,C,D,E",
,checkbox,哪些是 Kesilapan Tidak Ketara ?,Kesilapan pengiraan,Kesilapan pindahan,Merekodkan amaun di bahagian yang sama,Merekodkan pada satu akaun ahaja,Merekodkan amaun yang tidak sama,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,"F,G,H,I,J,K",
,radio,写错人名,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,B,
,radio,terlupa rekod,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,A,
,radio,进错 akaun(不同分类),Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,C,
,radio,进错 akaun(同个分类),Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,B,
,radio,数字写错,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,D,
,radio,写倒反,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,E,
,radio,dt kt 一起少写,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,F,
,radio,dt kt 一起多写,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,F,
