title,type,question,A,B,C,D,E,F,G,H,answer,image
Pembetulan Kesilapan dalam Jurnal Am,checkbox,Angkutan masuk RM300 dicatat dalam Akaun Belian sebagai angkutan keluar.,dt: Angkutan Masuk RM300,kt: Angkutan Masuk RM300,dt: Angkutan Keluar RM300,kt: Angkutan Keluar RM300,,,,,"A,D",
,checkbox,Belanja membaiki kenderaan RM450 didebitkan ke Akaun Kenderaan.,dt: Kenderaan RM450,kt: Kenderaan RM450,dt: Belanja membaiki kenderaan RM450,kt: Belanja membaiki kenderaan RM450,,,,,"B,C",
,checkbox,Jualan RM1 500 kepada Perniagaan Asiah dicatat atas nama Perniagaan Aishah.,dt: Perniagaan Asiah RM1 500,kt: Perniagaan Asiah RM1 500,dt: Perniagaan Aishah RM1 500,kt: Perniagaan Aishah RM1 500,dt: Jualan RM1500,kt: Jualan RM1500,,,"A,D",
,checkbox,Pinjaman RM10 000 digunakan untuk membeli komputer RM3 000 dan barang niaga RM7 000 tetapi belum direkod.,dt: Alatan Pejabat RM3 000,kt: Alatan Pejabat RM3 000,dt: Belian RM7 000,kt: Belian RM7 000,dt: Pinjaman RM10 000,kt: Pinjaman RM10 000,,,"A,C,F",
,checkbox,Belian alatan pejabat RM2 800 direkod dalam Akaun Belian.,dt: Alatan Pejabat RM2 800,kt: Alatan Pejabat RM2 800,dt: Belian RM2 800,kt: Belian RM2 800,,,,,"A,D",
,checkbox,Bayaran cek RM428 kepada Jaya Trading direkod sebagai RM482.,dt: Bank RM54,kt: Bank RM54,dt: Jaya Trading RM54,kt: Jaya Trading RM54,,,,,"A,D",
,checkbox,Ambilan barang niaga RM280 belum direkod.,dt: Ambilan RM280,kt: Ambilan RM280,dt: Belian RM280,kt: Belian RM280,,,,,"A,D",
,checkbox,Sewa diterima melalui cek RM200 belum direkod.,dt: Bank RM200,kt: Bank RM200,dt: Sewa diterima RM200,kt: Sewa diterima RM200,,,,,"A,D",
,checkbox,Ambilan barang niaga RM150 untuk promosi dicatat sebagai ambilan peribadi.,dt: Promosi RM150,kt: Promosi RM150,dt: Ambilan RM150,kt: Ambilan RM150,,,,,"A,D",
,checkbox,Pulangan masuk dan pulangan keluar masing-masing terlebih catat RM75.,dt: Pulangan Keluar RM75,kt: Pulangan Keluar RM75,dt: Pulangan Masuk RM75,kt: Pulangan Masuk RM75,,,,,"A,D",
,checkbox,Jualan RM650 kepada Amira dicatat sebagai RM605 dalam kedua-dua akaun.,dt: Amira RM45,kt: Amira RM45,dt: Jualan RM45,kt: Jualan RM45,,,,,"A,D",
,checkbox,Alat tulis RM20 diambil untuk kegunaan peribadi tetapi belum direkod.,dt: Ambilan RM20,kt: Ambilan RM20,dt: Alat Tulis RM20,kt: Alat Tulis RM20,,,,,"A,D",
,checkbox,Belian kredit RM1 392 dicatat sebagai RM1 329 dalam kedua-dua akaun.,dt: Belian RM63,kt: Belian RM63,dt: Akaun Belum Bayar RM63,kt: Akaun Belum Bayar RM63,,,,,"A,D",
,checkbox,Pulangan jualan Bestari Mart RM200 didebitkan ke Akaun Bestari Mart dan dikreditkan ke Akaun Pulangan Jualan.,dt: Bestari Mart RM400,kt: Bestari Mart RM400,dt: Pulangan Jualan RM400,kt: Pulangan Jualan RM400,dt: Bestari Mart RM200,kt: Bestari Mart RM200,dt: Pulangan Jualan RM200,kt: Pulangan Jualan RM200,"B,C",
,checkbox,Ambilan barang niaga RM880 untuk promosi belum direkod.,dt: Promosi RM880,kt: Promosi RM880,dt: Belian RM880,kt: Belian RM880,,,,,"A,D",
,checkbox,Sewa diterima melalui cek RM185 dicatat sebagai RM285 dalam kedua-dua akaun.,dt: Sewa diterima RM100,kt: Sewa diterima RM100,dt: Bank RM100,kt: Bank RM100,,,,,"A,D",
,checkbox,Tunai RM100 digunakan untuk perbelanjaan peribadi tetapi dicatat sebagai Belanja Am.,dt: Ambilan RM100,kt: Ambilan RM100,dt: Belanja Am RM100,kt: Belanja Am RM100,,,,,"A,D",
